id_municipio;departamento_id;municipio
001;05;MEDELLIN
002;05;ABEJORRAL
021;05;ALEJANDRIA
030;05;AMAGA
031;05;AMALFI
034;05;ANDES
036;05;ANGELOPOLIS
038;05;ANGOSTURA
040;05;ANORI
042;05;SANTAFE DE
044;05;ANZA
045;05;APARTADO
051;05;ARBOLETES
055;05;ARGELIA
059;05;ARMENIA
079;05;BARBOSA
086;05;BELMIRA
088;05;BELLO
091;05;BETANIA
093;05;BETULIA
101;05;CIUDAD BOLIVAR
107;05;BRICEÑO
113;05;BURITICA
120;05;CACERES
125;05;CAICEDO
129;05;CALDAS
134;05;CAMPAMENTO
138;05;CAÑASGORDAS
142;05;CARACOLI
145;05;CARAMANTA
147;05;CAREPA
148;05;EL CARMEN DE VIBORAL
150;05;CAROLINA
154;05;CAUCASIA
172;05;CHIGORODO
190;05;CISNEROS
197;05;COCORNA
206;05;CONCEPCION
212;05;COPACABANA
234;05;DABEIBA
237;05;DON MATIAS
240;05;EBEJICO
264;05;ENTRERRIOS
266;05;ENVIGADO
282;05;FREDONIA
284;05;FRONTINO
306;05;GIRALDO
308;05;GIRARDOTA
310;05;GOMEZ PLATA
313;05;GRANADA
315;05;GUADALUPE
318;05;GUARNE
321;05;GUATAPE
347;05;HELICONIA
353;05;HISPANIA
360;05;ITAGUI
361;05;ITUANGO
364;05;JARDIN
368;05;JERICO
376;05;LA CEJA
380;05;LA ESTRELLA
390;05;LA PINTADA
400;05;LA UNION
411;05;LIBORINA
425;05;MACEO
440;05;MARINILLA
467;05;MONTEBELLO
475;05;MURINDO
480;05;MUTATA
483;05;NARIÑO
490;05;NECOCLI
495;05;NECHI
501;05;OLAYA
541;05;PEÑOL
543;05;PEQUE
576;05;PUEBLORRICO
579;05;PUERTO BERRIO
585;05;PUERTO NARE
591;05;PUERTO TRIUNFO
604;05;REMEDIOS
607;05;RETIRO
615;05;RIONEGRO
628;05;SABANALARGA
631;05;SABANETA
642;05;SALGAR
647;05;SAN ANDRES
649;05;SAN CARLOS
652;05;SAN FRANCISCO
656;05;SAN JERONIMO
658;05;SAN JOSE DE LA MONTAÑA
659;05;SAN JUAN DE URABA
660;05;SAN LUIS
664;05;SAN PEDRO DE LOS MILAGROS
665;05;SAN PEDRO DE URABA
667;05;SAN RAFAEL
670;05;SAN ROQUE
674;05;SAN VICENTE
679;05;SANTA BARBARA
686;05;SANTA ROSA DE OSOS
690;05;SANTO DOMINGO
697;05;EL SANTUARIO
736;05;SEGOVIA
756;05;SONSON
761;05;SOPETRAN
789;05;TAMESIS
790;05;TARAZA
792;05;TARSO
809;05;TITIRIBI
819;05;TOLEDO
837;05;TURBO
842;05;URAMITA
847;05;URRAO
